PRZ Layer MV of Element W
Depth (nm)	Intensity	Intensity Absorbed
0	1.36188	1.35725
0.553304	1.75878	1.75091
1.10661	1.93913	1.92744
1.65991	2.0693	2.05335
2.21322	2.16575	2.14526
2.76652	2.26128	2.23583
3.31982	2.30735	2.27708
3.87313	2.35423	2.31893
4.42643	2.40582	2.36519
4.97974	2.44824	2.40215
5.53304	2.50222	2.4503
6.08635	2.52957	2.4722
6.63965	2.59369	2.52984
7.19295	2.61442	2.54507
7.74626	2.65944	2.58379
8.29956	2.67737	2.59601
8.85287	2.71296	2.62527
9.40617	2.74419	2.65025
9.95947	2.79994	2.69875
10.5128	2.78246	2.67657
11.0661	2.82618	2.71327
11.6194	2.8336	2.71496
12.1727	2.86369	2.73833
12.726	2.87632	2.74492
13.2793	2.90447	2.76629
13.8326	2.92357	2.77889
14.3859	2.926	2.77568
14.9392	2.92982	2.77377
15.4925	2.98042	2.81609
16.0458	2.98454	2.81437
16.5991	2.99017	2.81407
17.1524	3.00752	2.82474
17.7057	3.0194	2.83025
18.259	3.01226	2.81794
18.8123	3.02523	2.82441
19.3656	3.06161	2.85272
19.9189	3.05024	2.83651
20.4723	3.06809	2.84743
21.0256	3.05363	2.82835
21.5789	3.0995	2.86511
22.1322	3.08226	2.84353
22.6855	3.1031	2.85701
23.2388	3.13283	2.87859
23.7921	3.13916	2.8787
24.3454	3.12797	2.86275
24.8987	3.1343	2.86279
25.452	3.12084	2.84483
26.0053	3.11549	2.83431
26.5586	3.11465	2.82793
27.1119	3.12075	2.82785
27.6652	3.15921	2.85706
28.2185	3.12642	2.82176
28.7718	3.12879	2.81827
29.3251	3.10787	2.79385
29.8784	3.08275	2.76575
30.4317	3.08106	2.75873
30.985	3.07442	2.7473
31.5383	3.01605	2.68982
32.0916	3.00585	2.67535
32.6449	3.02422	2.68636
33.1982	3.02356	2.68047
33.7515	2.99945	2.6538
34.3049	3.00354	2.6521
34.8582	2.97285	2.61979
35.4115	2.98266	2.62321
35.9648	2.97535	2.61153
36.5181	2.93572	2.57163
37.0714	2.94533	2.57491
37.6247	2.91648	2.5446
38.178	2.89889	2.52426
38.7313	2.88571	2.50777
39.2846	2.88105	2.49873
39.8379	2.86088	2.47628
40.3912	2.86223	2.4725
40.9445	2.86013	2.46578
41.4978	2.83129	2.43615
42.0511	2.78662	2.39293
42.6044	2.74813	2.35515
43.1577	2.72676	2.3322
43.711	2.71512	2.31763
44.2643	2.69611	2.29686
44.8176	2.70097	2.29638
45.3709	2.6857	2.27882
45.9242	2.67604	2.2661
46.4775	2.66233	2.24999
47.0308	2.66637	2.24891
47.5842	2.63341	2.2167
48.1375	2.59569	2.18063
48.6908	2.5751	2.15902
49.2441	2.5563	2.13903
49.7974	2.52934	2.11226
50.3507	2.51066	2.09251
50.904	2.5066	2.08496
51.4573	2.48651	2.06409
52.0106	2.47143	2.0475
52.5639	2.4684	2.04094
53.1172	2.42459	2.00074
53.6705	2.37315	1.95439
54.2238	2.37366	1.95094
54.7771	2.32561	1.90766
55.3304	2.31017	1.8912
55.8837	2.31326	1.88997
56.437	2.26219	1.8445
56.9903	2.25592	1.83573
57.5436	2.29052	1.86017
58.0969	2.26402	1.83501
58.6502	2.21116	1.78864
59.2035	2.19358	1.77086
59.7568	2.18986	1.76433
60.3101	2.16711	1.74255
60.8635	2.1306	1.70981
61.4168	2.09478	1.6777
61.9701	2.03894	1.62973
62.5234	2.03259	1.62143
63.0767	2.05161	1.63333
63.63	2.00576	1.59364
64.1833	1.9941	1.58121
64.7366	1.94941	1.54271
65.2899	1.93723	1.53003
65.8432	1.93094	1.52203
66.3965	1.88833	1.48545
66.9498	1.8662	1.46512
67.5031	1.84695	1.4471
68.0564	1.82455	1.42671
68.6097	1.83589	1.43274
69.163	1.8199	1.41746
69.7163	1.7947	1.39508
70.2696	1.76896	1.37232
70.8229	1.73287	1.34164
71.3762	1.69383	1.30878
71.9295	1.67537	1.29196
72.4828	1.64284	1.26433
73.0361	1.63539	1.25611
73.5894	1.59417	1.22203
74.1427	1.60531	1.22814
74.6961	1.6006	1.2221
75.2494	1.5925	1.21346
75.8027	1.58093	1.20226
76.356	1.54136	1.16983
76.9093	1.50998	1.14373
77.4626	1.51439	1.14481
78.0159	1.48935	1.12365
78.5692	1.48364	1.11708
79.1225	1.48465	1.11561
79.6758	1.44981	1.08729
80.2291	1.43593	1.07474
80.7824	1.38928	1.03774
81.3357	1.39834	1.04244
81.889	1.38645	1.03153
82.4423	1.35277	1.00448
82.9956	1.33748	0.991157
83.5489	1.31173	0.970121
84.1022	1.30778	0.965285
84.6555	1.28592	0.947243
85.2088	1.26676	0.931272
85.7621	1.24265	0.911723
86.3154	1.21462	0.889383
86.8687	1.23145	0.899921
87.422	1.20815	0.881139
87.9754	1.19405	0.869116
88.5287	1.17241	0.851662
89.082	1.15827	0.839732
89.6353	1.1442	0.82787
90.1886	1.11697	0.806567
90.7419	1.11457	0.803245
91.2952	1.0914	0.784966
91.8485	1.05061	0.754132
92.4018	1.05411	0.755142
92.9551	1.04108	0.744313
93.5084	1.03491	0.738419
94.0617	1.00963	0.718946
94.615	0.982821	0.698465
95.1683	0.974824	0.691411
95.7216	0.95079	0.673035
96.2749	0.950163	0.671255
96.8282	0.922403	0.650341
97.3815	0.925856	0.651471
97.9348	0.907747	0.637455
98.4881	0.86367	0.6053
99.0414	0.85692	0.599385
99.5947	0.855289	0.597048
100.148	0.829017	0.577552
100.701	0.81921	0.569604
101.255	0.801803	0.556371
101.808	0.787637	0.545459
102.361	0.777471	0.537348
102.915	0.733971	0.506279
103.468	0.721181	0.49645
104.021	0.728541	0.500524
104.574	0.724112	0.49649
105.128	0.702534	0.480759
105.681	0.709161	0.484325
106.234	0.695296	0.473911
106.788	0.702315	0.477736
107.341	0.672203	0.456339
107.894	0.656992	0.445127
108.448	0.641364	0.433667
109.001	0.654408	0.441619
109.554	0.617666	0.415994
110.108	0.614145	0.412786
110.661	0.59842	0.40141
111.214	0.601438	0.402649
111.767	0.589492	0.393869
112.321	0.582278	0.388272
112.874	0.556801	0.370542
113.427	0.540988	0.359299
113.981	0.520377	0.344922
114.534	0.508862	0.336619
115.087	0.50572	0.333881
115.641	0.503681	0.331879
116.194	0.497635	0.327237
116.747	0.489675	0.321362
117.3	0.491152	0.32169
117.854	0.467126	0.305331
118.407	0.455522	0.297163
118.96	0.448378	0.29192
119.514	0.446567	0.29017
120.067	0.429044	0.278227
120.62	0.427479	0.276656
121.174	0.412226	0.266256
121.727	0.389474	0.251063
122.28	0.390707	0.251356
122.834	0.379977	0.24397
123.387	0.389202	0.249389
123.94	0.381958	0.244261
124.493	0.359798	0.22963
125.047	0.360542	0.229647
125.6	0.358418	0.227838
126.153	0.354225	0.224727
126.707	0.354208	0.224275
127.26	0.340927	0.215436
127.813	0.332876	0.209937
128.367	0.315127	0.198341
128.92	0.312346	0.196198
129.473	0.306783	0.192324
130.026	0.295875	0.185115
130.58	0.294821	0.184086
131.133	0.291944	0.181926
131.686	0.295531	0.183791
132.24	0.284349	0.176485
132.793	0.277085	0.171631
133.346	0.271997	0.168143
133.9	0.261948	0.161615
134.453	0.260722	0.160534
135.006	0.254604	0.156459
135.56	0.24453	0.149969
136.113	0.240976	0.147499
136.666	0.241068	0.147258
137.219	0.224835	0.137071
137.773	0.225284	0.137076
138.326	0.215753	0.131011
138.879	0.218231	0.132251
139.433	0.218558	0.132189
139.986	0.204348	0.123343
140.539	0.192521	0.115973
141.093	0.195581	0.117587
141.646	0.196211	0.117732
142.199	0.179947	0.107761
142.752	0.173852	0.103897
143.306	0.169585	0.101151
143.859	0.16711	0.099474
144.412	0.165085	0.0980714
144.966	0.162486	0.0963376
145.519	0.17119	0.101293
146.072	0.163861	0.0967657
146.626	0.155481	0.0916362
147.179	0.153032	0.0900144
147.732	0.152592	0.0895748
148.285	0.155655	0.0911862
148.839	0.144983	0.0847669
149.392	0.139751	0.0815421
149.945	0.141535	0.0824262
150.499	0.137216	0.0797518
151.052	0.135972	0.0788658
151.605	0.134452	0.0778284
152.159	0.120404	0.0695676
152.712	0.118244	0.0681833
153.265	0.119601	0.068826
153.819	0.110788	0.0636256
154.372	0.109309	0.0626553
154.925	0.112268	0.0642192
155.478	0.112279	0.064095
156.032	0.105043	0.0598428
156.585	0.100471	0.0571233
157.138	0.100203	0.0568598
157.692	0.103561	0.0586484
158.245	0.0962958	0.0544295
158.798	0.0937223	0.0528731
159.352	0.0885199	0.0498337
159.905	0.0859919	0.0483111
160.458	0.0817429	0.0458356
161.011	0.0778418	0.0435622
161.565	0.0725158	0.0405001
162.118	0.0703563	0.0392141
162.671	0.0710668	0.0395316
163.225	0.0759437	0.0421601
163.778	0.0715744	0.0396576
164.331	0.0726197	0.0401603
164.885	0.0669216	0.0369359
165.438	0.0633514	0.0348985
165.991	0.0619752	0.0340722
166.545	0.0594818	0.0326302
167.098	0.0590717	0.0323419
167.651	0.0538585	0.0294307
168.204	0.0559919	0.0305323
168.758	0.0555502	0.0302297
169.311	0.0551372	0.0299456
169.864	0.0507577	0.0275121
170.418	0.0522367	0.028259
170.971	0.0517196	0.0279252
171.524	0.0536548	0.0289109
172.078	0.053634	0.0288422
172.631	0.0504095	0.0270542
173.184	0.0507736	0.027198
173.737	0.0455484	0.024352
174.291	0.0415978	0.0221938
174.844	0.0398277	0.0212058
175.397	0.0390786	0.0207667
175.951	0.0367805	0.0195071
176.504	0.0358122	0.0189531
177.057	0.0334916	0.0176899
177.611	0.0316958	0.0167092
178.164	0.0298986	0.0157308
178.717	0.0264167	0.0138703
179.271	0.0261417	0.0136982
179.824	0.0260394	0.0136182
180.377	0.0274203	0.0143116
180.93	0.0283174	0.0147511
181.484	0.0272125	0.0141458
182.037	0.0252814	0.0131162
182.59	0.0268885	0.0139225
183.144	0.0266472	0.013771
183.697	0.0260621	0.0134407
184.25	0.0253232	0.0130345
184.804	0.0238557	0.0122541
185.357	0.0213841	0.0109618
185.91	0.0197149	0.0100873
186.463	0.0195433	0.00997889
187.017	0.017478	0.00890763
187.57	0.0162601	0.00827065
188.123	0.0182856	0.0092819
188.677	0.0164983	0.00835876
189.23	0.0155296	0.00785197
189.783	0.0140131	0.00707089
190.337	0.0154118	0.00776166
190.89	0.0159708	0.0080271
191.443	0.0129908	0.00651598
191.997	0.0122836	0.00614772
192.55	0.0117309	0.0058602
193.103	0.0118706	0.0059183
193.656	0.0104042	0.00517728
194.21	0.0102752	0.00510229
