PRZ Layer LIII of Element W
Depth (nm)	Intensity	Intensity Absorbed
0	1.16374	1.16307
0.707051	1.35382	1.35278
1.4141	1.46103	1.45956
2.12115	1.51808	1.51615
2.82821	1.5392	1.53681
3.53526	1.57987	1.57695
4.24231	1.59531	1.59188
4.94936	1.60794	1.60399
5.65641	1.63393	1.6294
6.36346	1.65886	1.65375
7.07051	1.69119	1.68545
7.77757	1.71007	1.70372
8.48462	1.72536	1.7184
9.19167	1.73449	1.72694
9.89872	1.72432	1.71626
10.6058	1.73667	1.72801
11.3128	1.74367	1.73441
12.0199	1.75783	1.74793
12.7269	1.77355	1.76299
13.434	1.76964	1.75854
14.141	1.79076	1.77896
14.8481	1.80127	1.78881
15.5551	1.80856	1.79547
16.2622	1.78992	1.77639
16.9692	1.79939	1.78522
17.6763	1.79905	1.78429
18.3833	1.78857	1.77333
19.0904	1.80542	1.78946
19.7974	1.81229	1.79568
20.5045	1.80077	1.7837
21.2115	1.79929	1.78165
21.9186	1.80617	1.78789
22.6256	1.80953	1.79064
23.3327	1.81838	1.79881
24.0397	1.83121	1.81091
24.7468	1.83012	1.80925
25.4539	1.79933	1.77823
26.1609	1.81635	1.79447
26.868	1.81419	1.79177
27.575	1.80001	1.77718
28.2821	1.79526	1.77192
28.9891	1.77765	1.75397
29.6962	1.78882	1.76443
30.4032	1.80517	1.77998
31.1103	1.8213	1.7953
31.8173	1.8139	1.78743
32.5244	1.80475	1.77783
33.2314	1.79736	1.76999
33.9385	1.78314	1.75542
34.6455	1.77698	1.74879
35.3526	1.78139	1.75256
36.0596	1.78389	1.75446
36.7667	1.7795	1.74956
37.4737	1.76048	1.73031
38.1808	1.76682	1.73598
38.8878	1.73957	1.70865
39.5949	1.73179	1.70047
40.3019	1.70802	1.67658
41.009	1.70875	1.67675
41.716	1.71364	1.681
42.4231	1.71094	1.67782
43.1301	1.68732	1.65411
43.8372	1.67246	1.63902
44.5442	1.69502	1.6606
45.2513	1.67925	1.64461
45.9583	1.65721	1.62251
46.6654	1.64702	1.61201
47.3724	1.65034	1.61473
48.0795	1.64008	1.60418
48.7865	1.61624	1.58035
49.4936	1.6017	1.56562
50.2007	1.60833	1.5716
50.9077	1.58514	1.54844
51.6148	1.56688	1.53011
52.3218	1.56118	1.52404
53.0289	1.55966	1.52207
53.7359	1.53592	1.49842
54.443	1.51791	1.48036
55.15	1.505	1.4673
55.8571	1.52162	1.48302
56.5641	1.48167	1.44362
57.2712	1.47274	1.43446
57.9782	1.46149	1.42304
58.6853	1.4374	1.39913
59.3923	1.42775	1.38928
60.0994	1.42019	1.38149
60.8064	1.41985	1.38071
61.5135	1.40428	1.36512
62.2205	1.39247	1.35321
62.9276	1.34972	1.31124
63.6346	1.34881	1.30994
64.3417	1.33824	1.29924
65.0487	1.33311	1.29385
65.7558	1.31662	1.27743
66.4628	1.30169	1.26254
67.1699	1.26879	1.23023
67.8769	1.28444	1.245
68.584	1.27285	1.23338
69.291	1.25989	1.22042
69.9981	1.23234	1.19334
70.7051	1.21248	1.17373
71.4122	1.19621	1.1576
72.1192	1.1748	1.13651
72.8263	1.16771	1.12929
73.5333	1.1757	1.13666
74.2404	1.15286	1.11422
74.9474	1.12835	1.09017
75.6545	1.12035	1.0821
76.3616	1.11113	1.07285
77.0686	1.10072	1.06245
77.7757	1.08484	1.04678
78.4827	1.07696	1.03884
79.1898	1.06151	1.02361
79.8968	1.06157	1.02334
80.6039	1.03383	0.996273
81.3109	1.01423	0.977069
82.018	1.00863	0.971363
82.725	0.993469	0.956452
83.4321	0.975929	0.939263
84.1391	0.967754	0.931091
84.8462	0.956006	0.919489
85.5532	0.932224	0.896326
86.2603	0.924293	0.888412
86.9673	0.915195	0.879386
87.6744	0.910169	0.874273
88.3814	0.896482	0.860848
89.0885	0.880248	0.844984
89.7955	0.870947	0.835786
90.5026	0.864965	0.829779
91.2096	0.855852	0.820773
91.9167	0.847287	0.812297
92.6237	0.835411	0.800651
93.3308	0.816021	0.781813
94.0378	0.811981	0.77769
94.7449	0.805963	0.771678
95.4519	0.786204	0.752515
96.159	0.78766	0.753665
96.866	0.770972	0.737462
97.5731	0.75004	0.717205
98.2801	0.747299	0.714355
98.9872	0.746795	0.713643
99.6942	0.735301	0.702434
100.401	0.724887	0.692262
101.108	0.725336	0.692465
101.815	0.701476	0.66947
102.522	0.686042	0.654529
103.23	0.676345	0.645068
103.937	0.664474	0.63354
104.644	0.660917	0.629946
105.351	0.63817	0.608067
106.058	0.629219	0.599345
106.765	0.62028	0.590641
107.472	0.602866	0.573876
108.179	0.583208	0.554982
108.886	0.57956	0.551331
109.593	0.569738	0.54181
110.3	0.568576	0.54053
111.007	0.571988	0.543598
111.714	0.553268	0.525638
112.421	0.537742	0.510722
113.128	0.523993	0.497504
113.835	0.521834	0.495293
114.542	0.510871	0.484731
115.249	0.503703	0.477774
115.956	0.498587	0.472772
116.663	0.487576	0.462183
117.371	0.496797	0.470771
118.078	0.476311	0.451212
118.785	0.463789	0.439208
119.492	0.455084	0.430825
120.199	0.442894	0.419149
120.906	0.438699	0.415046
121.613	0.440367	0.416487
122.32	0.430067	0.406616
123.027	0.422854	0.399666
123.734	0.415266	0.392366
124.441	0.400729	0.378508
125.148	0.397695	0.37552
125.855	0.38911	0.367294
126.562	0.380503	0.359055
127.269	0.369374	0.348442
127.976	0.379004	0.357412
128.683	0.365218	0.3443
129.39	0.354677	0.334254
130.097	0.353839	0.333356
130.805	0.345386	0.325289
131.512	0.337867	0.318104
132.219	0.32601	0.306841
132.926	0.320509	0.301566
133.633	0.31819	0.299288
134.34	0.318821	0.299784
135.047	0.307293	0.28885
135.754	0.297491	0.279546
136.461	0.294844	0.276969
137.168	0.288176	0.270618
137.875	0.279132	0.262042
138.582	0.274603	0.257706
139.289	0.265931	0.249486
139.996	0.256093	0.24018
140.703	0.252144	0.236401
141.41	0.25466	0.238682
142.117	0.247163	0.23158
142.824	0.239983	0.224779
143.531	0.234782	0.219835
144.238	0.228856	0.214217
144.946	0.225485	0.210996
145.653	0.2257	0.211129
146.36	0.217072	0.202992
147.067	0.212196	0.198368
147.774	0.206166	0.192668
148.481	0.20388	0.190471
149.188	0.199623	0.186433
149.895	0.198501	0.185326
150.602	0.188519	0.17595
151.309	0.186591	0.174094
152.016	0.186262	0.173729
152.723	0.180416	0.168221
153.43	0.176136	0.164177
154.137	0.168672	0.157171
154.844	0.169439	0.157835
155.551	0.162375	0.151206
156.258	0.157948	0.147035
156.965	0.153403	0.142758
157.672	0.152919	0.142263
158.38	0.152046	0.141405
159.087	0.148044	0.137638
159.794	0.141142	0.131179
160.501	0.140216	0.130276
161.208	0.137162	0.127398
161.915	0.131765	0.122346
162.622	0.126104	0.117053
163.329	0.123677	0.114761
164.036	0.121159	0.112388
164.743	0.119628	0.110931
165.45	0.120103	0.111336
166.157	0.115319	0.106867
166.864	0.110257	0.102142
167.571	0.10803	0.100047
168.278	0.109232	0.101129
168.985	0.103952	0.0962092
169.692	0.102116	0.09448
170.399	0.102212	0.0945391
171.106	0.0995587	0.0920549
171.813	0.0937613	0.0866661
172.521	0.0935034	0.0863991
173.228	0.0891337	0.0823352
173.935	0.0875242	0.0808227
174.642	0.0886246	0.0818117
175.349	0.0846145	0.0780841
176.056	0.0807321	0.0744774
176.763	0.0792291	0.073067
177.47	0.075043	0.0691847
178.177	0.0735635	0.067799
178.884	0.0705105	0.0649637
179.591	0.0722636	0.0665577
180.298	0.069947	0.0644032
181.005	0.0675388	0.0621659
181.712	0.0675318	0.0621393
182.419	0.0644524	0.0592863
183.126	0.0638119	0.0586778
183.833	0.0621613	0.0571417
184.54	0.0581764	0.0534618
185.247	0.0593723	0.0545428
185.955	0.0560788	0.0515005
186.662	0.0559996	0.0514114
187.369	0.0558568	0.0512634
188.076	0.0546229	0.0501149
188.783	0.0541227	0.0496404
189.49	0.052018	0.0476946
190.197	0.0516286	0.0473221
190.904	0.0472207	0.0432678
191.611	0.0457586	0.0419143
192.318	0.0452777	0.0414606
193.025	0.0428457	0.0392207
193.732	0.0431774	0.0395113
194.439	0.042749	0.039107
195.146	0.0409584	0.0374571
195.853	0.0402119	0.036763
196.56	0.0381059	0.0348262
197.267	0.0359172	0.0328152
197.974	0.0353841	0.0323172
198.681	0.0354778	0.0323924
199.388	0.0330057	0.0301251
200.096	0.0316656	0.0288928
200.803	0.0312153	0.0284729
201.51	0.030637	0.0279365
202.217	0.028958	0.0263971
202.924	0.0295522	0.0269296
203.631	0.0284284	0.0258974
204.338	0.0272291	0.024797
205.045	0.0272624	0.0248188
205.752	0.0274323	0.024966
206.459	0.026346	0.02397
207.166	0.0255027	0.023195
207.873	0.0245943	0.0223616
208.58	0.0234442	0.021309
209.287	0.0234987	0.0213516
209.994	0.0225823	0.0205122
210.701	0.0216497	0.0196586
211.408	0.0215986	0.0196059
212.115	0.0209901	0.0190473
212.822	0.0196307	0.0178078
213.53	0.0193059	0.0175076
214.237	0.0187414	0.0169904
214.944	0.0172404	0.0156249
215.651	0.0174227	0.0157849
216.358	0.0169446	0.0153468
217.065	0.0160398	0.0145224
217.772	0.0150274	0.0136016
218.479	0.014064	0.0127254
219.186	0.0136142	0.0123146
219.893	0.0137141	0.0124008
220.6	0.0129485	0.0117046
221.307	0.01218	0.0110066
222.014	0.0114218	0.010318
222.721	0.0120111	0.0108467
223.428	0.0110831	0.0100054
224.135	0.0108596	0.00980062
224.842	0.0104601	0.00943701
225.549	0.0108457	0.00978157
226.256	0.0101037	0.00910944
226.964	0.0102929	0.00927718
227.671	0.00983353	0.00886002
228.378	0.00907785	0.00817646
229.085	0.00871207	0.00784458
229.792	0.00811917	0.00730831
230.499	0.00803389	0.00722922
231.206	0.00782593	0.00703994
231.913	0.00757764	0.00681433
232.62	0.00750068	0.00674285
233.327	0.0071805	0.00645295
234.034	0.00714205	0.00641653
234.741	0.00682549	0.0061301
235.448	0.00675139	0.0060615
236.155	0.0067176	0.00602918
236.862	0.00682398	0.00612287
237.569	0.00628002	0.0056328
238.276	0.00609908	0.00546885
238.983	0.00527597	0.00472937
239.69	0.00496001	0.00444453
240.397	0.00488982	0.00438022
241.105	0.00466342	0.00417616
241.812	0.00475281	0.00425482
242.519	0.00466935	0.00417869
243.226	0.00438566	0.00392343
243.933	0.00441613	0.00394948
244.64	0.00434318	0.00388319
245.347	0.00418456	0.00374036
246.054	0.00414754	0.00370597
246.761	0.00382623	0.00341761
247.468	0.00367905	0.00328517
248.175	0.00371466	0.00331592
248.882	0.00366308	0.00326874
249.589	0.00354227	0.0031599
250.296	0.00338268	0.00301654
251.003	0.00313604	0.00279564
251.71	0.00311251	0.00277379
252.417	0.003196	0.00284731
253.124	0.00290873	0.00259059
253.831	0.00275943	0.00245688
254.539	0.0027267	0.00242682
255.246	0.00270695	0.0024084
255.953	0.00261613	0.0023269
256.66	0.0027476	0.00244301
257.367	0.00294539	0.00261795
258.074	0.00265135	0.00235594
258.781	0.00257162	0.00228431
259.488	0.00260379	0.00231218
260.195	0.00230546	0.00204658
260.902	0.00222947	0.00197853
261.609	0.00205602	0.00182406
262.316	0.00191335	0.00169688
263.023	0.00193022	0.00171124
263.73	0.00180728	0.00160173
264.437	0.00158501	0.0014043
265.144	0.00161687	0.0014321
265.851	0.00156413	0.00138503
266.558	0.00142045	0.00125739
267.265	0.00134655	0.00119157
267.972	0.00139917	0.00123766
268.68	0.00130622	0.0011551
269.387	0.00115574	0.0010217
270.094	0.00109895	0.000971195
270.801	0.00105757	0.000934282
271.508	0.00102392	0.000904189
272.215	0.00096577	0.000852559
272.922	0.000991248	0.000874774
273.629	0.000917128	0.000809159
274.336	0.000850649	0.000750272
275.043	0.00083448	0.000735802
275.75	0.000767801	0.000676781
276.457	0.000733759	0.000646606
277.164	0.000723814	0.000637646
277.871	0.000848578	0.000747321
278.578	0.000965267	0.000849767
279.285	0.000737231	0.000648747
279.992	0.00071963	0.000633101
280.699	0.000601049	0.000528569
281.406	0.00055159	0.000484926
282.114	0.000494015	0.000434184
282.821	0.000470715	0.000413561
283.528	0.000483851	0.000424987
284.235	0.000462955	0.000406538
284.942	0.000427339	0.000375152
285.649	0.000458008	0.000401951
286.356	0.000454132	0.000398388
287.063	0.000419135	0.00036753
287.77	0.000455084	0.000398942
288.477	0.000386736	0.000338914
289.184	0.000387029	0.00033905
289.891	0.000409453	0.000358579
290.598	0.000372053	0.000325743
291.305	0.000354101	0.000309904
292.012	0.000347128	0.000303675
292.719	0.000322732	0.000282247
293.426	0.000316097	0.000276386
294.133	0.00029741	0.000259957
294.84	0.00022345	0.000195251
295.547	0.000225724	0.000197152
296.255	0.000219861	0.000191973
296.962	0.000214024	0.000186848
297.669	0.000163873	0.000142999
298.376	0.000157957	0.000137795
299.083	0.000155502	0.000135622
299.79	0.000152881	0.000133299
300.497	0.000172823	0.000150625
301.204	0.000166284	0.000144892
301.911	0.000108103	9.41617e-05
302.618	0.000218426	0.000190148
303.325	8.90184e-05	7.74557e-05
304.032	8.58236e-05	7.46681e-05
304.739	8.46962e-05	7.36688e-05
305.446	8.13416e-05	7.0741e-05
306.153	9.05735e-05	7.87274e-05
306.86	8.55237e-05	7.43158e-05
307.567	7.19476e-05	6.24973e-05
308.274	7.00577e-05	6.08453e-05
308.981	6.56515e-05	5.70039e-05
309.689	5.59123e-05	4.85388e-05
310.396	4.6232e-05	4.01297e-05
311.103	4.382e-05	3.80287e-05
311.81	4.28516e-05	3.71662e-05
312.517	4.22236e-05	3.65928e-05
313.224	5.17173e-05	4.48049e-05
313.931	4.99384e-05	4.3252e-05
314.638	4.79572e-05	4.15247e-05
315.345	3.38142e-05	2.92724e-05
316.052	2.74042e-05	2.37176e-05
316.759	2.51554e-05	2.17638e-05
317.466	2.15916e-05	1.86677e-05
318.173	1.84314e-05	1.59308e-05
318.88	1.70111e-05	1.47011e-05
319.587	1.52807e-05	1.32031e-05
320.294	1.37362e-05	1.1865e-05
321.001	1.30888e-05	1.13039e-05
321.708	1.19145e-05	1.02865e-05
322.415	9.92055e-06	8.56024e-06
323.122	8.71074e-06	7.5126e-06
323.83	7.35782e-06	6.34422e-06
324.537	6.39984e-06	5.51578e-06
325.244	6.27044e-06	5.40321e-06
325.951	6.81674e-06	5.87276e-06
326.658	7.31115e-06	6.29589e-06
327.365	6.89263e-06	5.93405e-06
328.072	2.83865e-06	2.44307e-06
328.779	1.57068e-06	1.35096e-06
329.486	1.5023e-06	1.29213e-06
330.193	1.43209e-06	1.23173e-06
330.9	1.36387e-06	1.17299e-06
331.607	5.68782e-07	4.88591e-07
332.314	5.12001e-07	4.39762e-07
333.021	4.24279e-07	3.64417e-07
333.728	0	0
334.435	0	0
335.142	0	0
335.849	0	0
336.556	0	0
337.264	0	0
337.971	0	0
338.678	0	0
339.385	0	0
340.092	0	0
340.799	0	0
341.506	0	0
342.213	0	0
342.92	0	0
343.627	0	0
344.334	0	0
345.041	0	0
345.748	0	0
346.455	0	0
347.162	0	0
347.869	0	0
348.576	0	0
349.283	0	0
349.99	0	0
350.697	0	0
351.405	0	0
352.112	0	0
352.819	0	0
